network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
XX,SYN,HHZ,35.0,-97.0,500.0,10795,manual,1.0,107.95929952213189,10977,manual,1.0,SYNTHETIC_001,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,9.182614935591163,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,10795,manual,1.0,107.95929952213189,10977,manual,1.0,SYNTHETIC_001,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,9.182614935591163,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,10795,manual,1.0,107.95929952213189,10977,manual,1.0,SYNTHETIC_001,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,9.182614935591163,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,8299,manual,1.0,82.9918084283298,8711,manual,1.0,SYNTHETIC_002,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.643953838096447,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,8299,manual,1.0,82.9918084283298,8711,manual,1.0,SYNTHETIC_002,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.643953838096447,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,8299,manual,1.0,82.9918084283298,8711,manual,1.0,SYNTHETIC_002,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.643953838096447,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,5997,manual,1.0,59.97488866499017,9261,manual,1.0,SYNTHETIC_003,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.824701885576297,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,5997,manual,1.0,59.97488866499017,9261,manual,1.0,SYNTHETIC_003,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.824701885576297,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,5997,manual,1.0,59.97488866499017,9261,manual,1.0,SYNTHETIC_003,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.824701885576297,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,860,manual,1.0,8.60552238303125,2306,manual,1.0,SYNTHETIC_004,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,8.411501857279095,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
